name_with_owner,url,primary_language,metrica,descricao,valor,lado,severidade,limite_inferior,limite_superior,mediana,observacao
firstcontributions/first-contributions,https://github.com/firstcontributions/first-contributions,,accepted_pull_requests,pull requests aceitas,103403.0,acima,extremo,-4700.375,8300.625,768.0,
llvm/llvm-project,https://github.com/llvm/llvm-project,LLVM,accepted_pull_requests,pull requests aceitas,97396.0,acima,extremo,-4700.375,8300.625,768.0,
elastic/elasticsearch,https://github.com/elastic/elasticsearch,Java,accepted_pull_requests,pull requests aceitas,95655.0,acima,extremo,-4700.375,8300.625,768.0,
getsentry/sentry,https://github.com/getsentry/sentry,Python,accepted_pull_requests,pull requests aceitas,91209.0,acima,extremo,-4700.375,8300.625,768.0,
home-assistant/core,https://github.com/home-assistant/core,Python,accepted_pull_requests,pull requests aceitas,90180.0,acima,extremo,-4700.375,8300.625,768.0,
rust-lang/rust,https://github.com/rust-lang/rust,Rust,accepted_pull_requests,pull requests aceitas,73628.0,acima,extremo,-4700.375,8300.625,768.0,
grafana/grafana,https://github.com/grafana/grafana,TypeScript,accepted_pull_requests,pull requests aceitas,69561.0,acima,extremo,-4700.375,8300.625,768.0,
ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,C++,accepted_pull_requests,pull requests aceitas,69267.0,acima,extremo,-4700.375,8300.625,768.0,
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Go,accepted_pull_requests,pull requests aceitas,65651.0,acima,extremo,-4700.375,8300.625,768.0,
python/cpython,https://github.com/python/cpython,Python,accepted_pull_requests,pull requests aceitas,62701.0,acima,extremo,-4700.375,8300.625,768.0,
swiftlang/swift,https://github.com/swiftlang/swift,Swift,accepted_pull_requests,pull requests aceitas,60720.0,acima,extremo,-4700.375,8300.625,768.0,
PostHog/posthog,https://github.com/PostHog/posthog,Python,accepted_pull_requests,pull requests aceitas,54903.0,acima,extremo,-4700.375,8300.625,768.0,
DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,TypeScript,accepted_pull_requests,pull requests aceitas,53496.0,acima,extremo,-4700.375,8300.625,768.0,
microsoft/vscode,https://github.com/microsoft/vscode,TypeScript,accepted_pull_requests,pull requests aceitas,52239.0,acima,extremo,-4700.375,8300.625,768.0,
flutter/flutter,https://github.com/flutter/flutter,Dart,accepted_pull_requests,pull requests aceitas,49693.0,acima,extremo,-4700.375,8300.625,768.0,
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,C++,accepted_pull_requests,pull requests aceitas,48928.0,acima,extremo,-4700.375,8300.625,768.0,
metabase/metabase,https://github.com/metabase/metabase,Clojure,accepted_pull_requests,pull requests aceitas,46183.0,acima,extremo,-4700.375,8300.625,768.0,
godotengine/godot,https://github.com/godotengine/godot,C++,accepted_pull_requests,pull requests aceitas,43417.0,acima,extremo,-4700.375,8300.625,768.0,
ansible/ansible,https://github.com/ansible/ansible,Python,accepted_pull_requests,pull requests aceitas,40061.0,acima,extremo,-4700.375,8300.625,768.0,
apache/airflow,https://github.com/apache/airflow,Python,accepted_pull_requests,pull requests aceitas,39752.0,acima,extremo,-4700.375,8300.625,768.0,
discourse/discourse,https://github.com/discourse/discourse,Ruby,accepted_pull_requests,pull requests aceitas,37258.0,acima,extremo,-4700.375,8300.625,768.0,
pingcap/tidb,https://github.com/pingcap/tidb,Go,accepted_pull_requests,pull requests aceitas,36068.0,acima,extremo,-4700.375,8300.625,768.0,
nextcloud/server,https://github.com/nextcloud/server,PHP,accepted_pull_requests,pull requests aceitas,34206.0,acima,extremo,-4700.375,8300.625,768.0,
ray-project/ray,https://github.com/ray-project/ray,Python,accepted_pull_requests,pull requests aceitas,32181.0,acima,extremo,-4700.375,8300.625,768.0,
frappe/erpnext,https://github.com/frappe/erpnext,Python,accepted_pull_requests,pull requests aceitas,32173.0,acima,extremo,-4700.375,8300.625,768.0,
istio/istio,https://github.com/istio/istio,Go,accepted_pull_requests,pull requests aceitas,30600.0,acima,extremo,-4700.375,8300.625,768.0,
pandas-dev/pandas,https://github.com/pandas-dev/pandas,Python,accepted_pull_requests,pull requests aceitas,29424.0,acima,extremo,-4700.375,8300.625,768.0,
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,TypeScript,accepted_pull_requests,pull requests aceitas,29136.0,acima,extremo,-4700.375,8300.625,768.0,
vercel/next.js,https://github.com/vercel/next.js,JavaScript,accepted_pull_requests,pull requests aceitas,28257.0,acima,extremo,-4700.375,8300.625,768.0,
