name_with_owner,primary_language,language_group,is_popular_language,open_issues,closed_issues,total_issues,has_issues,closed_issues_percentage
codecrafters-io/build-your-own-x,Markdown,Markdown,False,273,677,950,True,71.26315789473684
sindresorhus/awesome,,Sem linguagem identificada,False,16,352,368,True,95.65217391304348
public-apis/public-apis,Python,Python,True,30,910,940,True,96.80851063829788
freeCodeCamp/freeCodeCamp,TypeScript,TypeScript,True,164,21916,22080,True,99.2572463768116
EbookFoundation/free-programming-books,Python,Python,True,38,1255,1293,True,97.06109822119103
openclaw/openclaw,TypeScript,TypeScript,True,3529,44212,47741,True,92.6080308330366
donnemartin/system-design-primer,Python,Python,True,275,127,402,True,31.592039800995025
nilbuild/developer-roadmap,TypeScript,TypeScript,True,0,3185,3185,True,100.0
jwasham/coding-interview-university,,Sem linguagem identificada,False,81,455,536,True,84.88805970149254
vinta/awesome-python,Python,Python,True,0,0,0,False,
awesome-selfhosted/awesome-selfhosted,,Sem linguagem identificada,False,0,0,0,False,
practical-tutorials/project-based-learning,Python,Python,True,152,88,240,True,36.666666666666664
996icu/996.ICU,,Sem linguagem identificada,False,0,0,0,False,
obra/superpowers,Shell,Shell,True,102,755,857,True,88.098016336056
react/react,JavaScript,JavaScript,True,823,13801,14624,True,94.3722647702407
torvalds/linux,C,C,False,0,0,0,False,
affaan-m/ECC,JavaScript,JavaScript,True,44,667,711,True,93.81153305203938
trimstray/the-book-of-secret-knowledge,,Sem linguagem identificada,False,0,0,0,False,
NousResearch/hermes-agent,Python,Python,True,11497,11387,22884,True,49.759657402552
mattpocock/skills,Shell,Shell,True,369,311,680,True,45.73529411764706
TheAlgorithms/Python,Python,Python,True,143,1606,1749,True,91.82389937106919
vuejs/vue,TypeScript,TypeScript,True,364,9670,10034,True,96.37233406418179
ossu/computer-science,HTML,HTML,False,17,658,675,True,97.48148148148148
multica-ai/andrej-karpathy-skills,,Sem linguagem identificada,False,0,0,0,False,
n8n-io/n8n,TypeScript,TypeScript,True,345,9712,10057,True,96.56955354479467
anomalyco/opencode,TypeScript,TypeScript,True,3987,20238,24225,True,83.54179566563468
