id,name_with_owner,language_category,metrica,descricao,valor,limite_inferior,limite_superior
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp/freeCodeCamp,Popular,accepted_pull_requests,Pull requests aceitas,29136,-4700.375,8300.625
R_kgDOQb6kRw,openclaw/openclaw,Popular,accepted_pull_requests,Pull requests aceitas,26658,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,react/react,Popular,accepted_pull_requests,Pull requests aceitas,13035,-4700.375,8300.625
R_kgDOPRF1Gw,NousResearch/hermes-agent,Popular,accepted_pull_requests,Pull requests aceitas,11403,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxOTMyMTU1NTQ=,n8n-io/n8n,Popular,accepted_pull_requests,Pull requests aceitas,20277,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,tensorflow/tensorflow,Popular,accepted_pull_requests,Pull requests aceitas,48928,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==,microsoft/vscode,Popular,accepted_pull_requests,Pull requests aceitas,52239,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzMTc5MjgyNA==,flutter/flutter,Não popular,accepted_pull_requests,Pull requests aceitas,49693,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyMTI2MjQ0,twbs/bootstrap,Não popular,accepted_pull_requests,Pull requests aceitas,9487,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxNTUyMjA2NDE=,huggingface/transformers,Popular,accepted_pull_requests,Pull requests aceitas,20230,-4700.375,8300.625
R_kgDOJVxJug,langgenius/dify,Popular,accepted_pull_requests,Pull requests aceitas,13476,-4700.375,8300.625
R_kgDOIPDwlg,langchain-ai/langchain,Popular,accepted_pull_requests,Pull requests aceitas,17285,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk3MDEwNzc4Ng==,vercel/next.js,Popular,accepted_pull_requests,Pull requests aceitas,28257,-4700.375,8300.625
R_kgDOJH_K4A,ggml-org/llama.cpp,Popular,accepted_pull_requests,Pull requests aceitas,9789,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyMDU4MDQ5OA==,kubernetes/kubernetes,Popular,accepted_pull_requests,Pull requests aceitas,65651,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk5Mzg0MjY3,electron/electron,Popular,accepted_pull_requests,Pull requests aceitas,26700,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyNzE5Mzc3OQ==,nodejs/node,Popular,accepted_pull_requests,Pull requests aceitas,13234,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxNTYzNDk4MQ==,godotengine/godot,Popular,accepted_pull_requests,Pull requests aceitas,43417,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk3MjQ3MTI=,rust-lang/rust,Não popular,accepted_pull_requests,Pull requests aceitas,73628,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk1NzYyMDE=,mrdoob/three.js,Popular,accepted_pull_requests,Pull requests aceitas,16008,-4700.375,8300.625
R_kgDOGyI-8A,immich-app/immich,Popular,accepted_pull_requests,Pull requests aceitas,10044,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyMDkyOTAyNQ==,microsoft/TypeScript,Popular,accepted_pull_requests,Pull requests aceitas,14898,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxMzM0NDIzODQ=,denoland/deno,Não popular,accepted_pull_requests,Pull requests aceitas,16464,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyMTQ1ODcxOTM=,supabase/supabase,Popular,accepted_pull_requests,Pull requests aceitas,18727,-4700.375,8300.625
R_kgDOOYsS4Q,openai/codex,Não popular,accepted_pull_requests,Pull requests aceitas,9733,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxNjQwODk5Mg==,neovim/neovim,Não popular,accepted_pull_requests,Pull requests aceitas,19671,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzNDUyNjg4NA==,ant-design/ant-design,Popular,accepted_pull_requests,Pull requests aceitas,18246,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==,mui/material-ui,Popular,accepted_pull_requests,Pull requests aceitas,22184,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzNTc3Mjg5Njk=,oven-sh/bun,Não popular,accepted_pull_requests,Pull requests aceitas,9801,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyMjE5ODE4OTE=,microsoft/playwright,Popular,accepted_pull_requests,Pull requests aceitas,17730,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk1NDE3MzU5Mw==,storybookjs/storybook,Popular,accepted_pull_requests,Pull requests aceitas,13144,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk1MTA4MDUx,opencv/opencv,Popular,accepted_pull_requests,Pull requests aceitas,14064,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxMjg4ODk5Mw==,home-assistant/core,Popular,accepted_pull_requests,Pull requests aceitas,90180,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxMTgxOTI3,bitcoin/bitcoin,Popular,accepted_pull_requests,Pull requests aceitas,16837,-4700.375,8300.625
R_kgDOI7xefg,vllm-project/vllm,Popular,accepted_pull_requests,Pull requests aceitas,20169,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzNDA1NDc1MjA=,zed-industries/zed,Não popular,accepted_pull_requests,Pull requests aceitas,26479,-4700.375,8300.625
