name_with_owner,descricao,valor,lado,severidade,mediana,primary_language,observacao
codecrafters-io/build-your-own-x,estrelas,541599.0,acima,extremo,48655.0,Markdown,
sindresorhus/awesome,estrelas,498218.0,acima,extremo,48655.0,,
public-apis/public-apis,estrelas,467143.0,acima,extremo,48655.0,Python,
freeCodeCamp/freeCodeCamp,estrelas,454370.0,acima,extremo,48655.0,TypeScript,
EbookFoundation/free-programming-books,estrelas,394865.0,acima,extremo,48655.0,Python,
openclaw/openclaw,estrelas,386909.0,acima,extremo,48655.0,TypeScript,
donnemartin/system-design-primer,estrelas,365103.0,acima,extremo,48655.0,Python,
nilbuild/developer-roadmap,estrelas,365011.0,acima,extremo,48655.0,TypeScript,
jwasham/coding-interview-university,estrelas,359347.0,acima,extremo,48655.0,,
vinta/awesome-python,estrelas,315140.0,acima,extremo,48655.0,Python,
awesome-selfhosted/awesome-selfhosted,estrelas,313951.0,acima,extremo,48655.0,,
practical-tutorials/project-based-learning,estrelas,280125.0,acima,extremo,48655.0,Python,
996icu/996.ICU,estrelas,276730.0,acima,extremo,48655.0,,
obra/superpowers,estrelas,274898.0,acima,extremo,48655.0,Shell,
react/react,estrelas,247446.0,acima,extremo,48655.0,JavaScript,
torvalds/linux,estrelas,243439.0,acima,extremo,48655.0,C,
affaan-m/ECC,estrelas,241429.0,acima,extremo,48655.0,JavaScript,
trimstray/the-book-of-secret-knowledge,estrelas,239416.0,acima,extremo,48655.0,,
NousResearch/hermes-agent,estrelas,233519.0,acima,extremo,48655.0,Python,
mattpocock/skills,estrelas,226281.0,acima,extremo,48655.0,Shell,
TheAlgorithms/Python,estrelas,223902.0,acima,extremo,48655.0,Python,
vuejs/vue,estrelas,210249.0,acima,extremo,48655.0,TypeScript,
ossu/computer-science,estrelas,208250.0,acima,extremo,48655.0,HTML,
multica-ai/andrej-karpathy-skills,estrelas,204359.0,acima,extremo,48655.0,,
n8n-io/n8n,estrelas,201368.0,acima,extremo,48655.0,TypeScript,
anomalyco/opencode,estrelas,199534.0,acima,extremo,48655.0,TypeScript,
tensorflow/tensorflow,estrelas,197108.0,acima,extremo,48655.0,C++,
trekhleb/javascript-algorithms,estrelas,196522.0,acima,extremo,48655.0,JavaScript,
ultraworkers/claw-code,estrelas,195088.0,acima,extremo,48655.0,Rust,
DigitalPlatDev/FreeDomain,estrelas,194543.0,acima,extremo,48655.0,Markdown,
ohmyzsh/ohmyzsh,estrelas,189270.0,acima,extremo,48655.0,Shell,
microsoft/vscode,estrelas,188991.0,acima,extremo,48655.0,TypeScript,
massgravel/Microsoft-Activation-Scripts,estrelas,187727.0,acima,extremo,48655.0,Batchfile,
Significant-Gravitas/AutoGPT,estrelas,186687.0,acima,extremo,48655.0,Python,
yt-dlp/yt-dlp,estrelas,185872.0,acima,extremo,48655.0,Python,
CyC2018/CS-Notes,estrelas,185521.0,acima,extremo,48655.0,,
jackfrued/Python-100-Days,estrelas,185450.0,acima,extremo,48655.0,Jupyter Notebook,
getify/You-Dont-Know-JS,estrelas,184702.0,acima,extremo,48655.0,,
avelino/awesome-go,estrelas,181703.0,acima,extremo,48655.0,Go,
ollama/ollama,estrelas,179059.0,acima,extremo,48655.0,Go,
flutter/flutter,estrelas,178529.0,acima,extremo,48655.0,Dart,
github/gitignore,estrelas,175376.0,acima,moderado,48655.0,,
microsoft/markitdown,estrelas,174923.0,acima,moderado,48655.0,Python,
twbs/bootstrap,estrelas,174620.0,acima,moderado,48655.0,MDX,
deepseek-ai/deepseek-harness,estrelas,174057.0,acima,moderado,48655.0,TypeScript,
521xueweihan/HelloGitHub,estrelas,171970.0,acima,moderado,48655.0,Python,
anthropics/skills,estrelas,170676.0,acima,moderado,48655.0,Python,
firecrawl/firecrawl,estrelas,170070.0,acima,moderado,48655.0,TypeScript,
f/prompts.chat,estrelas,167647.0,acima,moderado,48655.0,HTML,
AUTOMATIC1111/stable-diffusion-webui,estrelas,164589.0,acima,moderado,48655.0,Python,
huggingface/transformers,estrelas,164283.0,acima,moderado,48655.0,Python,
jlevy/the-art-of-command-line,estrelas,162141.0,acima,moderado,48655.0,,
Snailclimb/JavaGuide,estrelas,157908.0,acima,moderado,48655.0,JavaScript,
langflow-ai/langflow,estrelas,153511.0,acima,moderado,48655.0,Python,
langgenius/dify,estrelas,153047.0,acima,moderado,48655.0,TypeScript,
open-webui/open-webui,estrelas,149385.0,acima,moderado,48655.0,Python,
airbnb/javascript,estrelas,148121.0,acima,moderado,48655.0,JavaScript,
Genymobile/scrcpy,estrelas,147987.0,acima,moderado,48655.0,C,
msitarzewski/agency-agents,estrelas,146767.0,acima,moderado,48655.0,Shell,
langchain-ai/langchain,estrelas,144649.0,acima,moderado,48655.0,Python,
x1xhlol/system-prompts-and-models-of-ai-tools,estrelas,142950.0,acima,moderado,48655.0,,
anthropics/claude-code,estrelas,142141.0,acima,moderado,48655.0,Python,
yangshun/tech-interview-handbook,estrelas,142035.0,acima,moderado,48655.0,TypeScript,
vercel/next.js,estrelas,141881.0,acima,moderado,48655.0,JavaScript,
ytdl-org/youtube-dl,estrelas,140976.0,acima,moderado,48655.0,Python,
clash-verge-rev/clash-verge-rev,estrelas,139084.0,acima,moderado,48655.0,TypeScript,
microsoft/PowerToys,estrelas,137910.0,acima,moderado,48655.0,C,
iptv-org/iptv,estrelas,136238.0,acima,moderado,48655.0,TypeScript,
golang/go,estrelas,135930.0,acima,moderado,48655.0,Go,
labuladong/fucking-algorithm,estrelas,135385.0,acima,moderado,48655.0,Markdown,
Shubhamsaboo/awesome-llm-apps,estrelas,133378.0,acima,moderado,48655.0,Python,
ripienaar/free-for-dev,estrelas,132290.0,acima,moderado,48655.0,HTML,
github/spec-kit,estrelas,130506.0,acima,moderado,48655.0,Python,
excalidraw/excalidraw,estrelas,130104.0,acima,moderado,48655.0,TypeScript,
krahets/hello-algo,estrelas,129506.0,acima,moderado,48655.0,Java,
garrytan/gstack,estrelas,128901.0,acima,moderado,48655.0,TypeScript,
Chalarangelo/30-seconds-of-code,estrelas,128761.0,acima,moderado,48655.0,JavaScript,
Comfy-Org/ComfyUI,estrelas,128647.0,acima,moderado,48655.0,Python,
farion1231/cc-switch,estrelas,128498.0,acima,moderado,48655.0,Rust,
react/react-native,estrelas,126369.0,acima,moderado,48655.0,C++,
ggml-org/llama.cpp,estrelas,124880.0,acima,moderado,48655.0,C++,
kubernetes/kubernetes,estrelas,124630.0,acima,moderado,48655.0,Go,
firstcontributions/first-contributions,pull requests aceitas,103403.0,acima,extremo,768.0,,
llvm/llvm-project,pull requests aceitas,97396.0,acima,extremo,768.0,LLVM,
elastic/elasticsearch,pull requests aceitas,95655.0,acima,extremo,768.0,Java,
getsentry/sentry,pull requests aceitas,91209.0,acima,extremo,768.0,Python,
home-assistant/core,pull requests aceitas,90180.0,acima,extremo,768.0,Python,
rust-lang/rust,pull requests aceitas,73628.0,acima,extremo,768.0,Rust,
grafana/grafana,pull requests aceitas,69561.0,acima,extremo,768.0,TypeScript,
ClickHouse/ClickHouse,pull requests aceitas,69267.0,acima,extremo,768.0,C++,
kubernetes/kubernetes,pull requests aceitas,65651.0,acima,extremo,768.0,Go,
python/cpython,pull requests aceitas,62701.0,acima,extremo,768.0,Python,
swiftlang/swift,pull requests aceitas,60720.0,acima,extremo,768.0,Swift,
