trial_id,participant_id,order_position,kata_id,difficulty_block,treatment
P01-K01-ai,P01,1,K01,B1,ai
P01-K03-manual,P01,2,K03,B2,manual
P01-K06-ai,P01,3,K06,B3,ai
P01-K02-manual,P01,4,K02,B1,manual
P01-K04-ai,P01,5,K04,B2,ai
P01-K05-manual,P01,6,K05,B3,manual
P02-K06-manual,P02,1,K06,B3,manual
P02-K04-ai,P02,2,K04,B2,ai
P02-K02-manual,P02,3,K02,B1,manual
P02-K05-ai,P02,4,K05,B3,ai
P02-K03-manual,P02,5,K03,B2,manual
P02-K01-ai,P02,6,K01,B1,ai
P03-K03-ai,P03,1,K03,B2,ai
P03-K01-manual,P03,2,K01,B1,manual
P03-K04-manual,P03,3,K04,B2,manual
P03-K06-ai,P03,4,K06,B3,ai
P03-K02-ai,P03,5,K02,B1,ai
P03-K05-manual,P03,6,K05,B3,manual
