severity,trial_id,source,field,code,message
warning,P01-K01-ai,metrics.json,,missing_static_metrics,Métricas estáticas ausentes: data/raw/metrics/P01-K01-ai/metrics.json
warning,P01-K01-ai,prompts.md,prompt_count,missing_prompt_log,Não há log de prompts exportável para o tratamento IA.
warning,P01-K01-ai,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
warning,P01-K03-manual,metrics.json,,missing_static_metrics,Métricas estáticas ausentes: data/raw/metrics/P01-K03-manual/metrics.json
warning,P01-K03-manual,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
warning,P01-K06-ai,metrics.json,,missing_static_metrics,Métricas estáticas ausentes: data/raw/metrics/P01-K06-ai/metrics.json
warning,P01-K06-ai,prompts.md,prompt_count,missing_prompt_log,Não há log de prompts exportável para o tratamento IA.
warning,P01-K06-ai,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
info,P01-K02-manual,data-quality-note.json,"completed,passed_tests,failed_tests,success_rate",quality_note_applied,A interpretação corrigida e rastreável da nota de qualidade foi aplicada.
warning,P01-K02-manual,metrics.json,,missing_static_metrics,Métricas estáticas ausentes: data/raw/metrics/P01-K02-manual/metrics.json
warning,P01-K02-manual,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
warning,P01-K04-ai,metrics.json,,missing_static_metrics,Métricas estáticas ausentes: data/raw/metrics/P01-K04-ai/metrics.json
warning,P01-K04-ai,prompts.md,prompt_count,missing_prompt_log,Não há log de prompts exportável para o tratamento IA.
warning,P01-K04-ai,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
warning,P01-K05-manual,metrics.json,,missing_static_metrics,Métricas estáticas ausentes: data/raw/metrics/P01-K05-manual/metrics.json
warning,P01-K05-manual,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
warning,P02-K06-manual,metrics.json,,missing_static_metrics,Métricas estáticas ausentes: data/raw/metrics/P02-K06-manual/metrics.json
warning,P02-K06-manual,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
error,P02-K04-ai,trial.json,,missing_trial_record,Evidência bruta ausente: data/raw/trials/P02-K04-ai/trial.json
warning,P02-K04-ai,trial-config.json,,missing_trial_config,Configuração preparada ausente: trials/P02-K04-ai/trial-config.json
warning,P02-K04-ai,final_junit.xml,,missing_junit_report,Resultado de testes ausente: data/raw/trials/P02-K04-ai/final_junit.xml
warning,P02-K04-ai,metrics.json,,missing_static_metrics,Métricas estáticas ausentes: data/raw/metrics/P02-K04-ai/metrics.json
warning,P02-K04-ai,prompts.md,prompt_count,missing_prompt_log,Não há log de prompts exportável para o tratamento IA.
warning,P02-K04-ai,git,issue_number,missing_issue_link,Issue não encontrada no commit que preserva o código final.
warning,P02-K04-ai,git,commit_sha,missing_commit_link,Commit que preserva o código final não encontrado.
warning,P02-K04-ai,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
warning,P02-K02-manual,metrics.json,,missing_static_metrics,Métricas estáticas ausentes: data/raw/metrics/P02-K02-manual/metrics.json
warning,P02-K02-manual,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
warning,P02-K05-ai,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
warning,P02-K03-manual,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
error,P02-K01-ai,trial.json,,missing_trial_record,Evidência bruta ausente: data/raw/trials/P02-K01-ai/trial.json
warning,P02-K01-ai,trial-config.json,,missing_trial_config,Configuração preparada ausente: trials/P02-K01-ai/trial-config.json
warning,P02-K01-ai,final_junit.xml,,missing_junit_report,Resultado de testes ausente: data/raw/trials/P02-K01-ai/final_junit.xml
warning,P02-K01-ai,metrics.json,,missing_static_metrics,Métricas estáticas ausentes: data/raw/metrics/P02-K01-ai/metrics.json
warning,P02-K01-ai,prompts.md,prompt_count,missing_prompt_log,Não há log de prompts exportável para o tratamento IA.
warning,P02-K01-ai,git,issue_number,missing_issue_link,Issue não encontrada no commit que preserva o código final.
warning,P02-K01-ai,git,commit_sha,missing_commit_link,Commit que preserva o código final não encontrado.
warning,P02-K01-ai,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
warning,P03-K03-ai,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
warning,P03-K01-manual,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
warning,P03-K04-manual,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
warning,P03-K06-ai,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
warning,P03-K02-ai,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
warning,P03-K05-manual,participant_feedback,perceived_difficulty,missing_participant_feedback,A dificuldade percebida não foi registrada; o valor permanece ausente.
