rq,metric,unit,row_type,participant_id,difficulty_block,treatment,manual_trial_id,ai_trial_id,n_expected,n_valid,n_missing,n_pairs,n_ties,n_nonzero,n_participants,median,q1,q3,iqr,minimum,maximum,manual_value,ai_value,difference,p_value,p_holm,rank_biserial,ci_low,ci_high,ci_method,note
RQ1,duration_seconds,s,treatment,,,manual,,,9,9,0,,,,,606.0000,485.0000,695.0000,210.0000,75.0000,1191.0000,,,,,,,,,,
RQ1,duration_seconds,s,participant_treatment,P01,,manual,,,3,3,0,,,,,686.0000,585.5000,785.5000,200.0000,485.0000,885.0000,,,,,,,,,,
RQ1,duration_seconds,s,participant_treatment,P02,,manual,,,3,3,0,,,,,695.0000,650.5000,943.0000,292.5000,606.0000,1191.0000,,,,,,,,,,
RQ1,duration_seconds,s,participant_treatment,P03,,manual,,,3,3,0,,,,,107.0000,91.0000,297.5000,206.5000,75.0000,488.0000,,,,,,,,,,
RQ1,duration_seconds,s,treatment,,,ai,,,9,9,0,,,,,261.0000,178.0000,316.0000,138.0000,57.0000,384.0000,,,,,,,,,,
RQ1,duration_seconds,s,participant_treatment,P01,,ai,,,3,3,0,,,,,363.0000,322.0000,373.5000,51.5000,281.0000,384.0000,,,,,,,,,,
RQ1,duration_seconds,s,participant_treatment,P02,,ai,,,3,3,0,,,,,261.0000,159.0000,288.5000,129.5000,57.0000,316.0000,,,,,,,,,,
RQ1,duration_seconds,s,participant_treatment,P03,,ai,,,3,3,0,,,,,178.0000,172.5000,214.5000,42.0000,167.0000,251.0000,,,,,,,,,,
RQ1,duration_seconds,s,pair,P01,B1,,P01-K02-manual,P01-K01-ai,1,1,0,1,,,,,,,,,,885.0000,363.0000,522.0000,,,,,,,correção auditada por data-quality-note.json e poll registrado
RQ1,duration_seconds,s,pair,P01,B2,,P01-K03-manual,P01-K04-ai,1,1,0,1,,,,,,,,,,686.0000,384.0000,302.0000,,,,,,,
RQ1,duration_seconds,s,pair,P01,B3,,P01-K05-manual,P01-K06-ai,1,1,0,1,,,,,,,,,,485.0000,281.0000,204.0000,,,,,,,
RQ1,duration_seconds,s,pair,P02,B1,,P02-K02-manual,P02-K01-ai,1,1,0,1,,,,,,,,,,1191.0000,316.0000,875.0000,,,,,,,
RQ1,duration_seconds,s,pair,P02,B2,,P02-K03-manual,P02-K04-ai,1,1,0,1,,,,,,,,,,606.0000,57.0000,549.0000,,,,,,,
RQ1,duration_seconds,s,pair,P02,B3,,P02-K06-manual,P02-K05-ai,1,1,0,1,,,,,,,,,,695.0000,261.0000,434.0000,,,,,,,
RQ1,duration_seconds,s,pair,P03,B1,,P03-K01-manual,P03-K02-ai,1,1,0,1,,,,,,,,,,488.0000,178.0000,310.0000,,,,,,,
RQ1,duration_seconds,s,pair,P03,B2,,P03-K04-manual,P03-K03-ai,1,1,0,1,,,,,,,,,,107.0000,251.0000,-144.0000,,,,,,,
RQ1,duration_seconds,s,pair,P03,B3,,P03-K05-manual,P03-K06-ai,1,1,0,1,,,,,,,,,,75.0000,167.0000,-92.0000,,,,,,,
RQ1,duration_seconds,s,comparison,,,,,,9,9,0,9,0,9,3,,,,,,,,,310.0000,0.0098,,0.8667,-92.0000,549.0000,pair_bootstrap_95_exploratory,Wilcoxon exploratório: pares do mesmo participante não são independentes
RQ1,duration_seconds,s,participant_level_comparison,,,,,,3,3,0,,0,3,3,,,,,,,,,302.0000,0.2500,,0.6667,,,,sensibilidade: uma mediana por participante
RQ1,duration_seconds,s,participant_comparison,P01,,,,,3,3,0,3,0,3,,,,,,,,,,302.0000,0.1250,,1.0000,,,,
RQ1,duration_seconds,s,participant_comparison,P02,,,,,3,3,0,3,0,3,,,,,,,,,,549.0000,0.1250,,1.0000,,,,
RQ1,duration_seconds,s,participant_comparison,P03,,,,,3,3,0,3,0,3,,,,,,,,,,-92.0000,0.6250,,0.0000,,,,
RQ1,completed,0/1,treatment,,,manual,,,9,9,0,,,,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,,,,,,,,,,
RQ1,completed,0/1,participant_treatment,P01,,manual,,,3,3,0,,,,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,,,,,,,,,,
RQ1,completed,0/1,participant_treatment,P02,,manual,,,3,3,0,,,,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,,,,,,,,,,
RQ1,completed,0/1,participant_treatment,P03,,manual,,,3,3,0,,,,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,,,,,,,,,,
RQ1,completed,0/1,treatment,,,ai,,,9,9,0,,,,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,,,,,,,,,,
RQ1,completed,0/1,participant_treatment,P01,,ai,,,3,3,0,,,,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,,,,,,,,,,
RQ1,completed,0/1,participant_treatment,P02,,ai,,,3,3,0,,,,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,,,,,,,,,,
RQ1,completed,0/1,participant_treatment,P03,,ai,,,3,3,0,,,,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,,,,,,,,,,
RQ1,completed,0/1,pair,P01,B1,,P01-K02-manual,P01-K01-ai,1,1,0,1,,,,,,,,,,1.0000,1.0000,0.0000,,,,,,,correção auditada por data-quality-note.json e poll registrado
RQ1,completed,0/1,pair,P01,B2,,P01-K03-manual,P01-K04-ai,1,1,0,1,,,,,,,,,,1.0000,1.0000,0.0000,,,,,,,
RQ1,completed,0/1,pair,P01,B3,,P01-K05-manual,P01-K06-ai,1,1,0,1,,,,,,,,,,1.0000,1.0000,0.0000,,,,,,,
RQ1,completed,0/1,pair,P02,B1,,P02-K02-manual,P02-K01-ai,1,1,0,1,,,,,,,,,,1.0000,1.0000,0.0000,,,,,,,
RQ1,completed,0/1,pair,P02,B2,,P02-K03-manual,P02-K04-ai,1,1,0,1,,,,,,,,,,1.0000,1.0000,0.0000,,,,,,,
RQ1,completed,0/1,pair,P02,B3,,P02-K06-manual,P02-K05-ai,1,1,0,1,,,,,,,,,,1.0000,1.0000,0.0000,,,,,,,
RQ1,completed,0/1,pair,P03,B1,,P03-K01-manual,P03-K02-ai,1,1,0,1,,,,,,,,,,1.0000,1.0000,0.0000,,,,,,,
RQ1,completed,0/1,pair,P03,B2,,P03-K04-manual,P03-K03-ai,1,1,0,1,,,,,,,,,,1.0000,1.0000,0.0000,,,,,,,
RQ1,completed,0/1,pair,P03,B3,,P03-K05-manual,P03-K06-ai,1,1,0,1,,,,,,,,,,1.0000,1.0000,0.0000,,,,,,,
RQ1,completed,0/1,comparison,,,,,,9,9,0,9,,,3,,,,,,,,,0.0000,,,,,,,Wilcoxon exploratório: pares do mesmo participante não são independentes
RQ1,completed,0/1,participant_level_comparison,,,,,,3,3,0,,,,3,,,,,,,,,0.0000,,,,,,,sensibilidade: uma mediana por participante
RQ1,completed,0/1,participant_comparison,P01,,,,,3,3,0,3,,,,,,,,,,,,0.0000,,,,,,,
RQ1,completed,0/1,participant_comparison,P02,,,,,3,3,0,3,,,,,,,,,,,,0.0000,,,,,,,
RQ1,completed,0/1,participant_comparison,P03,,,,,3,3,0,3,,,,,,,,,,,,0.0000,,,,,,,
RQ2,success_rate,%,treatment,,,manual,,,9,9,0,,,,,100.0000,100.0000,100.0000,0.0000,100.0000,100.0000,,,,,,,,,,
RQ2,success_rate,%,participant_treatment,P01,,manual,,,3,3,0,,,,,100.0000,100.0000,100.0000,0.0000,100.0000,100.0000,,,,,,,,,,
RQ2,success_rate,%,participant_treatment,P02,,manual,,,3,3,0,,,,,100.0000,100.0000,100.0000,0.0000,100.0000,100.0000,,,,,,,,,,
RQ2,success_rate,%,participant_treatment,P03,,manual,,,3,3,0,,,,,100.0000,100.0000,100.0000,0.0000,100.0000,100.0000,,,,,,,,,,
