trial_id,participant_id,kata_id,difficulty_block,order_position,treatment,started_at,finished_at,duration_seconds,completed,censored,passed_tests,failed_tests,total_tests,success_rate,function_count,mean_cyclomatic_complexity,max_cyclomatic_complexity,duplicated_lines,duplication_percentage,loc,maintainability_index,prompt_count,perceived_difficulty,incident_flag,issue_number,commit_sha,trial_record_path,junit_report_path,metrics_record_path,trial_config_path,data_quality_note_path,prompt_log_path,commit_subject,quality_note_applied
P01-K01-ai,P01,K01,B1,1,ai,2026-09-15T22:59:44-03:00,2026-09-15T23:05:47-03:00,363,true,false,6,0,6,100.0,2,4.5,8,0,0.0,20,83.53126385046251,,,false,70,85977f3bcd2781b70b5ad351aae2c57ca9fca73b,data/raw/trials/P01-K01-ai/trial.json,data/raw/trials/P01-K01-ai/final_junit.xml,data/raw/metrics/P01-K01-ai/metrics.json,trials/P01-K01-ai/trial-config.json,,,#70 feat: executa trial P01-K01-ai (bloco B1) com Claude como assistente,false
P01-K03-manual,P01,K03,B2,2,manual,2026-09-16T21:16:37-03:00,2026-09-16T21:28:03-03:00,686,true,false,6,0,6,100.0,,,,,,,,,,false,97,d8db2f223cc0c922bd5d1cb3568f9a211ce36aab,data/raw/trials/P01-K03-manual/trial.json,data/raw/trials/P01-K03-manual/final_junit.xml,,trials/P01-K03-manual/trial-config.json,,,#97 feat: executa trial P01-K03-manual (bloco B2),false
P01-K06-ai,P01,K06,B3,3,ai,2026-09-16T18:12:22-03:00,2026-09-16T18:17:02-03:00,281,true,false,5,0,5,100.0,1,10.0,10,0,0.0,31,79.44125610870509,,,false,100,97878ce3a501c80f5ce863f87301a2acf6098c6a,data/raw/trials/P01-K06-ai/trial.json,data/raw/trials/P01-K06-ai/final_junit.xml,data/raw/metrics/P01-K06-ai/metrics.json,trials/P01-K06-ai/trial-config.json,,,#100 feat: executa trial P01-K06-ai (bloco B3) com Claude como assistente,false
P01-K02-manual,P01,K02,B1,4,manual,2026-09-15T23:32:36-03:00,2026-09-15T23:47:21-03:00,885,true,false,5,0,5,100.0,,,,,,,,,,false,70,52d54cbd539e337a749733bd2ef3e7a0c3459b5c,data/raw/trials/P01-K02-manual/trial.json,data/raw/trials/P01-K02-manual/final_junit.xml,,trials/P01-K02-manual/trial-config.json,data/raw/trials/P01-K02-manual/data-quality-note.json,,#70 fix: corrige registro do trial P01-K02-manual (bloco B1) e bug de corrida no coletor,true
P01-K04-ai,P01,K04,B2,5,ai,2026-09-16T17:58:42-03:00,2026-09-16T18:05:06-03:00,384,true,false,6,0,6,100.0,2,4.5,8,0,0.0,39,74.39227515794357,,,false,98,5df8b182a5049e29fd6cf6cc38900d6bf07bbe6d,data/raw/trials/P01-K04-ai/trial.json,data/raw/trials/P01-K04-ai/final_junit.xml,data/raw/metrics/P01-K04-ai/metrics.json,trials/P01-K04-ai/trial-config.json,,,#98 feat: executa trial P01-K04-ai (bloco B2) com Claude como assistente,false
P01-K05-manual,P01,K05,B3,6,manual,2026-09-16T21:37:24-03:00,2026-09-16T21:45:29-03:00,485,true,false,5,0,5,100.0,,,,,,,,,,false,99,bc88a9e4896b594c3be5fd12768ebe6550d78478,data/raw/trials/P01-K05-manual/trial.json,data/raw/trials/P01-K05-manual/final_junit.xml,,trials/P01-K05-manual/trial-config.json,,,#99 feat: executa trial P01-K05-manual (bloco B3),false
P02-K06-manual,P02,K06,B3,1,manual,2026-09-16T18:50:12-07:00,2026-09-16T19:01:47-07:00,695,true,false,5,0,5,100.0,,,,,,,,,,false,106,9a0d6bfbc6a2f5ac4f0af9722ef3b5c192bb6c2b,data/raw/trials/P02-K06-manual/trial.json,data/raw/trials/P02-K06-manual/final_junit.xml,,trials/P02-K06-manual/trial-config.json,,,#106 feat: executa trial P02-K06-manual,false
P02-K04-ai,P02,K04,B2,2,ai,2026-09-17T23:58:04-03:00,2026-09-17T23:59:01-03:00,57,true,false,6,0,6,100.0,1,12.0,12,0,0.0,33,75.38613220842893,,,false,104,f4a3291170ed5f79f89207cec3b8a278203717d9,data/raw/trials/P02-K04-ai/trial.json,data/raw/trials/P02-K04-ai/final_junit.xml,data/raw/metrics/P02-K04-ai/metrics.json,trials/P02-K04-ai/trial-config.json,,,#104 feat: executa trial P02-K04-ai (bloco B2) com Claude como assistente,false
P02-K02-manual,P02,K02,B1,3,manual,2026-09-17T15:31:22-07:00,2026-09-17T15:51:14-07:00,1191,true,false,5,0,5,100.0,,,,,,,,,,false,102,cba70653cd75f97b3d11f0b2d0867f709920a21b,data/raw/trials/P02-K02-manual/trial.json,data/raw/trials/P02-K02-manual/final_junit.xml,,trials/P02-K02-manual/trial-config.json,,,Registra desenvolvimento e resultados do P02 K02 manual (#102),false
P02-K05-ai,P02,K05,B3,4,ai,2026-09-17T16:42:58-07:00,2026-09-17T16:47:19-07:00,261,true,false,5,0,5,100.0,1,7.0,7,0,0.0,34,78.01303265226865,2,,false,105,8d8d0e2f3cb33a2d6e1eae9b5e737ab9439209c7,data/raw/trials/P02-K05-ai/trial.json,data/raw/trials/P02-K05-ai/final_junit.xml,data/raw/metrics/P02-K05-ai/metrics.json,trials/P02-K05-ai/trial-config.json,,data/raw/trials/P02-K05-ai/prompts.md,#105 feat: registra execução e métricas do trial P02-K05-ai,false
