trial_id,participant_id,difficulty_block,kata_id,treatment,duration_seconds,censored,completed,success_rate,passed_tests,total_tests,mean_cyclomatic_complexity,duplication_percentage,loc
P01-K01-ai,P01,B1,K01,ai,363,False,True,100.0,6,6,,,
P01-K02-manual,P01,B1,K02,manual,885,False,True,100.0,5,5,,,
P01-K04-ai,P01,B2,K04,ai,384,False,True,100.0,6,6,,,
P01-K03-manual,P01,B2,K03,manual,686,False,True,100.0,6,6,,,
P01-K06-ai,P01,B3,K06,ai,281,False,True,100.0,5,5,,,
P01-K05-manual,P01,B3,K05,manual,485,False,True,100.0,5,5,,,
P02-K01-ai,P02,B1,K01,ai,316,False,True,100.0,6,6,5.0,0.0,21
P02-K02-manual,P02,B1,K02,manual,1191,False,True,100.0,5,5,,,
P02-K04-ai,P02,B2,K04,ai,57,False,True,100.0,6,6,12.0,0.0,33
P02-K03-manual,P02,B2,K03,manual,606,False,True,100.0,6,6,8.0,0.0,38
P02-K05-ai,P02,B3,K05,ai,261,False,True,100.0,5,5,7.0,0.0,34
P02-K06-manual,P02,B3,K06,manual,695,False,True,100.0,5,5,,,
P03-K02-ai,P03,B1,K02,ai,178,False,True,100.0,5,5,7.0,0.0,36
P03-K01-manual,P03,B1,K01,manual,488,False,True,100.0,6,6,5.0,0.0,27
P03-K03-ai,P03,B2,K03,ai,251,False,True,100.0,6,6,7.0,0.0,29
P03-K04-manual,P03,B2,K04,manual,107,False,True,100.0,6,6,12.0,0.0,33
P03-K06-ai,P03,B3,K06,ai,167,False,True,100.0,5,5,10.0,0.0,37
P03-K05-manual,P03,B3,K05,manual,75,False,True,100.0,5,5,8.0,0.0,30
